"entry_id","field","old_location","new_location","reason"
"entry-00099","critical_operation","expression-sandboxing.ts:244","expression-evaluator-proxy.ts:19-21","RCE sink 原错误置于防御方 sanitizer 定义，修正为真实求值执行点"
"entry-00099","trace","ends at expression-sandboxing.ts:244","ends at expression-evaluator-proxy.ts:19-21","trace 终点改为 eval sink，并保留 PrototypeSanitizer 缺口作为根因节点"
"entry-00100","critical_operation","expression-sandboxing.ts:330-336","expression-evaluator-proxy.ts:19-21","sink 原置于 sanitizer 函数定义，修正为真实求值执行点"
"entry-00100","trace","ends at expression-sandboxing.ts:330-336","ends at expression-evaluator-proxy.ts:19-21","trace 终点改为 eval sink"
"entry-00103","entry_point","webhook-helpers.ts:615","webhook-request-handler.ts:146-154","原 entry_point 为 '}' 非执行点，修正为用户可控 content-type 进入校验的 setResponseHeaders"
"entry-00103","trace","webhook-helpers.ts:615 (non-exec '}')","webhook-request-handler.ts:146-154 (trace[1]; trace[0]=streaming 605-614 retained)","移除原 trace[0] 的 615 非执行点 '}' 节点；setResponseHeaders 146-154 保留为 trace[1]，真实输入入口由 entry_point 体现"
"entry-00176","critical_operation","constants.py:126","task_analyzer.py:66","原 critical 为静态列表定义（数据源）且机制误判；修正为真正生效的 AST 黑名单比对点 visit_Attribute:66，其仅覆盖字面属性、遗漏 getattr 动态访问，方为逃逸根因"
"entry-00511","critical_operation","extend.ts:82-84","extend.ts:132-135","原 critical 为缺失检查的 native 回退分支，修正为真正执行代码的 .apply 调用"
"entry-00511","trace","ends at extend.ts:79-85","ends at extend.ts:132-135","trace 终点改为 .apply 执行点"
"entry-00512","critical_operation","reset.ts:46 (desc imprecise)","reset.ts:46 (refined desc)","保留真实弱点槽位赋值点，仅细化 desc 说明"
"entry-00099","trace","gap between 384-393 and 19-21 (missing exec step)","added expression.ts:452-453 (extendSyntax+renderExpression)","补关键执行环节，使参数处理到 eval sink 的控制流连贯"
"entry-00511","entry_point+trace descs","English descriptions","Chinese (translated)","统一为中文，与全库一致便于人工复核"
"entry-00103","entry_point+trace[1] line","146-155","146-154","setResponseHeaders 的 verbatim code 止于第154行（needsSandbox 赋值），第155行为空行，line 范围修正以与代码对齐"
"entry-00511","trace","no 79-85 node","added extend.ts:79-85 (native fallback resolves Function ctor)","补 findExtendedFunction 的 native 回退环节，使 extend 入口(105-106)到 .apply 执行点(132-135)的数据流连贯，呼应 notes 的'保留 79-85 回退分支'"
"entry-00511","critical_operation+trace[.apply] line","132-134","132-135",".apply 的 verbatim code 含第135行的 '}'，line 范围修正以覆盖完整代码"
